prefecture_code,prefecture_name,fiscal_year,population,source
14,神奈川県,2023,9105960,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
15,新潟県,2023,2169965,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
16,富山県,2023,1020096,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
17,石川県,2023,1116419,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
18,福井県,2023,755956,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
19,山梨県,2023,798454,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
20,長野県,2023,2018883,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
21,岐阜県,2023,1950600,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
22,静岡県,2023,3581529,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
23,愛知県,2023,7435144,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
24,三重県,2023,1745077,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
25,滋賀県,2023,1393505,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
26,京都府,2023,2541420,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
27,大阪府,2023,8711992,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
28,兵庫県,2023,5387277,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
29,奈良県,2023,1305636,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
30,和歌山県,2023,909463,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
31,鳥取県,2023,545536,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
32,島根県,2023,661581,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
33,岡山県,2023,1861574,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
34,広島県,2023,2759884,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
35,山口県,2023,1322972,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
36,徳島県,2023,709325,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
37,香川県,2023,936729,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
38,愛媛県,2023,1315856,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
39,高知県,2023,681692,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
40,福岡県,2023,5062179,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
41,佐賀県,2023,799901,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
42,長崎県,2023,1293653,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
43,熊本県,2023,1713578,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
44,大分県,2023,1107868,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
45,宮崎県,2023,1054364,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
46,鹿児島県,2023,1565667,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
47,沖縄県,2023,1446609,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
01,北海道,2024,5127528,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
02,青森県,2024,1214979,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
03,岩手県,2024,1188039,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
04,宮城県,2024,2259219,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
05,秋田県,2024,941672,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
06,山形県,2024,1048180,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
07,福島県,2024,1799088,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
08,茨城県,2024,2813733,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
09,栃木県,2024,1897223,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
10,群馬県,2024,1903077,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
11,埼玉県,2024,7208282,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
12,千葉県,2024,6167699,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
13,東京都,2024,13786556,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
14,神奈川県,2024,9065685,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
15,新潟県,2024,2160367,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
16,富山県,2024,1015585,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
17,石川県,2024,1111481,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
18,福井県,2024,752613,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
