fiscal_year,prefecture_code,prefecture_name,online_primary_count,standard_base_count,online_per_10000_standard_base,online_per_100k_provider_location,share_65plus,clinic_per_100k,shimane_rate,shimane_to_prefecture_rate_ratio
2022,31,鳥取県,1233.0,5908442.0,2.0868445522525225,224.59016393442624,0.32786885245901637,86.33879781420765,9.042332141233102,4.33301662621343
2022,32,島根県,6743.0,7457147.0,9.042332141233102,1013.984962406015,0.3443609022556391,103.60902255639098,9.042332141233102,1.0
2022,34,広島県,7905.0,33599523.0,2.3527119715360243,284.454839870457,0.29758906081324216,90.71608492263404,9.042332141233102,3.843365550322592
2022,35,山口県,1869.0,16513839.0,1.1317780196355312,140.7379518072289,0.3501506024096386,89.90963855421687,9.042332141233102,7.989492625192547
2023,31,鳥取県,1268.0,6246104.0,2.0300654616061466,230.96539162112933,0.32786885245901637,86.33879781420765,12.897603463330036,6.353294367722365
2023,32,島根県,9987.0,7743299.0,12.897603463330036,1501.8045112781954,0.3443609022556391,103.60902255639098,12.897603463330036,1.0
2023,34,広島県,7253.0,35362096.0,2.051066203768012,260.9931630082764,0.29758906081324216,90.71608492263404,12.897603463330036,6.288243372952009
2023,35,山口県,1218.0,17063228.0,0.7138156977097182,91.71686746987952,0.3501506024096386,89.90963855421687,12.897603463330036,18.068534363578824
2024,31,鳥取県,891.0,6191835.0,1.438991833600217,162.29508196721312,0.32786885245901637,86.33879781420765,12.81813964763924,8.90772230136255
2024,32,島根県,9840.0,7676621.0,12.81813964763924,1479.6992481203008,0.3443609022556391,103.60902255639098,12.81813964763924,1.0
2024,34,広島県,9047.0,35113985.0,2.576466328159564,325.54875854623964,0.29758906081324216,90.71608492263404,12.81813964763924,4.9750852582636185
2024,35,山口県,1670.0,16981017.0,0.9834511089647929,125.75301204819277,0.3501506024096386,89.90963855421687,12.81813964763924,13.033835165565026
