"fiscal_year","sex","age_group","online_count","denominator_count","visit_type","proportion"
2024,"male","40～44歳",66447,23802019,"all",0.00279165393490359
2024,"male","45～49歳",59639,31952290,"all",0.00186650158721018
2024,"male","5～9歳",59187,26700109,"all",0.0022167325234515
2024,"male","50～54歳",51596,42513933,"all",0.00121362566008654
2024,"male","55～59歳",36520,45197133,"all",0.000808015853571951
2024,"male","60～64歳",24874,49067325,"all",0.000506936133159898
2024,"male","65～69歳",15206,54782350,"all",0.000277571152022504
2024,"male","70～74歳",12986,70794421,"all",0.000183432533476049
2024,"male","75～79歳",12748,78619986,"all",0.000162147065251322
2024,"male","80～84歳",11706,62803058,"all",0.000186392197653815
2024,"male","85～89歳",9813,34680150,"all",0.000282957253645097
2024,"male","90歳以上",8840,14363183,"all",0.00061546246399562
