specification,fiscal_year,observed_online_per_10000_standard_base,predicted_online_per_10000_standard_base,bootstrap_predicted_p2_5,bootstrap_predicted_p97_5,observed_to_predicted_ratio
島根・東京以外の45都道府県,2022,9.042332141233102,1.1619861462048866,0.865959793241816,1.5368653719721879,7.781789972940621
島根・東京以外の45都道府県,2023,12.897603463330036,1.2314927696110034,0.9249412397534451,1.6778094962474719,10.473145910068196
島根・東京以外の45都道府県,2024,12.81813964763924,1.5406996403477498,1.1338175754826072,2.117642303076224,8.319687570476795
島根以外の46都道府県,2022,9.042332141233102,1.2009979603813903,0.8768609310129353,1.6191548906827433,7.529015401792696
島根以外の46都道府県,2023,12.897603463330036,1.2801738771035656,0.9352501202553116,1.7955666972470101,10.074884118484965
島根以外の46都道府県,2024,12.81813964763924,1.6142915583657826,1.156614926591004,2.2763149835337293,7.940411743598287
