area_type,prefecture_code,sma_code,prefecture_name,area_name,column,fiscal_year,procedure_code,procedure_name,count
prefecture,24,,三重県,三重県,29,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,243.0
prefecture,25,,滋賀県,滋賀県,30,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
prefecture,26,,京都府,京都府,31,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,13.0
prefecture,27,,大阪府,大阪府,32,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,172.0
prefecture,28,,兵庫県,兵庫県,33,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,769.0
prefecture,29,,奈良県,奈良県,34,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
prefecture,30,,和歌山県,和歌山県,35,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
prefecture,31,,鳥取県,鳥取県,36,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,159.0
prefecture,32,,島根県,島根県,37,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,35.0
prefecture,33,,岡山県,岡山県,38,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
prefecture,34,,広島県,広島県,39,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,15.0
prefecture,35,,山口県,山口県,40,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,
prefecture,36,,徳島県,徳島県,41,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,23.0
prefecture,37,,香川県,香川県,42,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
prefecture,38,,愛媛県,愛媛県,43,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,169.0
prefecture,39,,高知県,高知県,44,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
prefecture,40,,福岡県,福岡県,45,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,438.0
prefecture,41,,佐賀県,佐賀県,46,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
prefecture,42,,長崎県,長崎県,47,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,
prefecture,43,,熊本県,熊本県,48,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,4674.0
prefecture,44,,大分県,大分県,49,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,
prefecture,45,,宮崎県,宮崎県,50,2022,112024710,外来診療料（情報通信機器を用いた再診を行った場合）,0.0
