"prefecture_code","prefecture_name","rate_per_population.2022","online_count.2022","population.2022","rate_per_population.2024","online_count.2024","population.2024","rate_baseline","rate_end","abs_change","relative_change_pct","baseline_year","end_year"
"01","北海道",584.737706999996,30388,5196860,448.754253511634,23010,5127528,584.737706999996,448.754253511634,-135.983453488362,-23.2554616985498,2022,2024
"02","青森県",190.51362342944,2346,1231408,360.170834228411,4376,1214979,190.51362342944,360.170834228411,169.65721079897,89.0525347977573,2022,2024
"03","岩手県",80.3086776557507,967,1204104,454.783050051387,5403,1188039,80.3086776557507,454.783050051387,374.474372395637,466.293784590564,2022,2024
"04","宮城県",103.28557303622,2365,2289768,315.064630741863,7118,2259219,103.28557303622,315.064630741863,211.779057705642,205.042244991346,2022,2024
"05","秋田県",150.355457064873,1435,954405,226.830573702945,2136,941672,150.355457064873,226.830573702945,76.4751166380725,50.8628806236652,2022,2024
"06","山形県",227.042963080103,2412,1062354,683.37499284474,7163,1048180,227.042963080103,683.37499284474,456.332029764637,200.989285716659,2022,2024
"07","福島県",195.238163137938,3560,1823414,578.515336659463,10408,1799088,195.238163137938,578.515336659463,383.277173521525,196.312630359432,2022,2024
"08","茨城県",125.956464368382,3592,2851779,375.799693858657,10574,2813733,125.956464368382,375.799693858657,249.843229490275,198.356813795252,2022,2024
"09","栃木県",461.96402578012,8883,1922877,508.901694740154,9655,1897223,461.96402578012,508.901694740154,46.9376689600343,10.1604597632403,2022,2024
"10","群馬県",291.734433010215,5627,1928809,305.347602855796,5811,1903077,291.734433010215,305.347602855796,13.6131698455811,4.66628834488811,2022,2024
"11","埼玉県",845.402709564755,61763,7305749,763.441274911276,55031,7208282,845.402709564755,763.441274911276,-81.9614346534795,-9.69495764872534,2022,2024
"12","千葉県",644.015065518111,40258,6251096,852.927485598762,52606,6167699,644.015065518111,852.927485598762,208.912420080651,32.4390579143643,2022,2024
"13","東京都",3048.00582152458,425897,13972972,8507.33859855935,1172869,13786556,3048.00582152458,8507.33859855935,5459.33277703477,179.111625656412,2022,2024
"14","神奈川県",620.846129090502,57045,9188267,1257.37878604871,113990,9065685,620.846129090502,1257.37878604871,636.532656958208,102.526636976973,2022,2024
"15","新潟県",393.545973906399,8617,2189579,203.483945088959,4396,2160367,393.545973906399,203.483945088959,-190.06202881744,-48.2947460828666,2022,2024
"16","富山県",171.084320962347,1761,1029317,312.332301087551,3172,1015585,171.084320962347,312.332301087551,141.247980125204,82.5604469951926,2022,2024
"17","石川県",271.901714143683,3063,1126510,486.737964931474,5410,1111481,271.901714143683,486.737964931474,214.836250787792,79.0124664952514,2022,2024
"18","福井県",659.291101471049,5029,762789,599.644173034481,4513,752613,659.291101471049,599.644173034481,-59.6469284365677,-9.04713082028257,2022,2024
"19","山梨県",262.141742721285,2112,805671,362.802434952819,2884,794923,262.141742721285,362.802434952819,100.660692231535,38.3993373915118,2022,2024
"20","長野県",414.2097812022,8438,2037132,227.517644682416,4573,2009954,414.2097812022,227.517644682416,-186.692136519784,-45.0718802385425,2022,2024
"21","岐阜県",204.2951259278,4021,1968231,382.343308760373,7425,1941972,204.2951259278,382.343308760373,178.048182832573,87.1524379370153,2022,2024
"22","静岡県",414.482739155627,14979,3613902,301.849180298444,10763,3565688,414.482739155627,301.849180298444,-112.633558857183,-27.1744871901389,2022,2024
"23","愛知県",444.194211706227,33325,7502349,1459.67602592668,108049,7402259,444.194211706227,1459.67602592668,1015.48181422045,228.612122233608,2022,2024
"24","三重県",435.585086747877,7670,1760850,362.677122389283,6301,1737358,435.585086747877,362.677122389283,-72.9079643585944,-16.73793859724,2022,2024
"25","滋賀県",161.794920848502,2275,1406101,254.01090718799,3524,1387342,161.794920848502,254.01090718799,92.2159863394874,56.9956002672262,2022,2024
"26","京都府",512.32416884782,13138,2564392,491.229872973464,12429,2530180,512.32416884782,491.229872973464,-21.0942958743562,-4.11737278016685,2022,2024
"27","大阪府",913.905066901095,80339,8790738,874.483870852448,75848,8673459,913.905066901095,874.483870852448,-39.4211960486475,-4.31348916603761,2022,2024
"28","兵庫県",547.188349606722,29745,5435971,739.281756944086,39651,5363449,547.188349606722,739.281756944086,192.093407337364,35.1055367818826,2022,2024
"29","奈良県",83.7990735040841,1104,1317437,347.114037577864,4512,1299861,83.7990735040841,347.114037577864,263.31496407378,314.221808264917,2022,2024
"30","和歌山県",143.513609819513,1317,917683,113.756847499558,1030,905440,143.513609819513,113.756847499558,-29.7567623199546,-20.7344532392277,2022,2024
"31","鳥取県",180.573949028734,994,550467,121.151194112567,658,543123,180.573949028734,121.151194112567,-59.4227549161663,-32.9077119018484,2022,2024
"32","島根県",1001.25681398404,6684,667561,1484.5404650386,9778,658655,1001.25681398404,1484.5404650386,483.283651054561,48.2677015831289,2022,2024
"33","岡山県",166.258517887564,3123,1878400,178.704393149665,3312,1853340,166.258517887564,178.704393149665,12.4458752621011,7.48585721816541,2022,2024
"34","広島県",281.956169676425,7852,2784830,322.454204042178,8860,2747677,281.956169676425,322.454204042178,40.4980343657527,14.3632375245516,2022,2024
"35","山口県",137.685122066326,1838,1334930,113.808916423712,1499,1317120,137.685122066326,113.808916423712,-23.8762056426133,-17.3411660492349,2022,2024
"36","徳島県",77.5424492516106,555,715737,249.933445484772,1765,706188,77.5424492516106,249.933445484772,172.390996233161,222.318224271953,2022,2024
"37","香川県",29.3060910118113,277,945196,49.7541245525882,464,932586,29.3060910118113,49.7541245525882,20.4480335407769,69.774005453459,2022,2024
"38","愛媛県",265.938617962719,3531,1327750,195.719812279968,2564,1310036,265.938617962719,195.719812279968,-70.218805682751,-26.4041402563786,2022,2024
"39","高知県",150.613356904227,1036,687854,240.025814931109,1629,678677,150.613356904227,240.025814931109,89.4124580268818,59.3655568567787,2022,2024
"40","福岡県",214.000373928016,10931,5107935,550.45955296938,27742,5039789,214.000373928016,550.45955296938,336.459179041364,157.22364071875,2022,2024
"41","佐賀県",301.809369471165,2436,807132,426.313126049302,3395,796363,301.809369471165,426.313126049302,124.503756578137,41.2524491192221,2022,2024
"42","長崎県",96.2196996045493,1256,1305346,198.61312446086,2558,1287931,96.2196996045493,198.61312446086,102.393424856311,106.416279906438,2022,2024
"43","熊本県",939.928874936599,16252,1729067,757.44475817395,12922,1705999,939.928874936599,757.44475817395,-182.484116762649,-19.4146729213908,2022,2024
"44","大分県",171.75336931805,1920,1117882,238.084876442472,2626,1102968,171.75336931805,238.084876442472,66.3315071244219,38.6202072121162,2022,2024
"45","宮崎県",230.850065890023,2456,1063894,360.864665271349,3788,1049701,230.850065890023,360.864665271349,130.014599381326,56.3199316751613,2022,2024
"46","鹿児島県",280.095378014823,4425,1579819,290.554819206771,4529,1558742,280.095378014823,290.554819206771,10.4594411919474,3.73424269478444,2022,2024
"47","沖縄県",264.64613940679,3863,1459685,528.533666247515,7612,1440211,264.64613940679,528.533666247515,263.887526840725,99.7133483345856,2022,2024
