prefecture_code,prefecture_name,online_primary_count,online_per_100k_provider_location,online_per_10000_standard_base,online_per_clinic,share_65plus,clinic_per_100k,online_per_100k_provider_location_rank,online_per_10000_standard_base_rank,online_per_clinic_rank
13,東京都,746963.6666666666,5331.646443016893,44.99032652103879,50.15198513942975,0.22855103497501786,106.30977872947895,1.0,1.0,1.0
32,島根県,8856.666666666666,1331.829573934837,11.586025084067458,12.854378326076437,0.3443609022556391,103.60902255639098,2.0,2.0,2.0
23,愛知県,66549.66666666667,885.3221586625872,7.339926703863955,11.712366537604131,0.25515498204070775,75.58866569110018,3.0,4.0,4.0
14,神奈川県,81194.33333333333,879.1071170781001,8.022504808267858,11.355850815850815,0.2572542226071893,77.41446513642269,4.0,3.0,5.0
27,大阪府,72495.33333333333,823.2492997198879,6.6208446544198525,8.166647891554955,0.2773109243697479,100.80626845332728,5.0,7.0,8.0
43,熊本県,14051.333333333334,812.6855600539811,6.567527006484298,9.558730158730159,0.31868131868131866,85.02024291497976,6.0,8.0,7.0
11,埼玉県,53978.666666666664,735.4041780199818,7.270400681303079,11.915820456217807,0.2724795640326976,61.716621253406,7.0,5.0,3.0
12,千葉県,42448.333333333336,676.4674634794156,6.761495607358383,10.768222560460003,0.2785657370517928,62.820717131474105,8.0,6.0,6.0
31,鳥取県,1130.6666666666667,205.95021250758955,1.8519672824862952,2.3853727144866386,0.32786885245901637,86.33879781420765,40.0,40.0,41.0
04,宮城県,4681.666666666667,204.43959243085882,1.8744410081276763,2.715583913379737,0.28602620087336245,75.28384279475982,41.0,38.0,36.0
25,滋賀県,2855.6666666666665,202.52955082742315,1.9714567489932715,2.498396033829105,0.26666666666666666,81.06382978723404,42.0,35.0,38.0
33,岡山県,3034.6666666666665,161.76261549395878,1.4208348686112153,1.9578494623655913,0.30650319829424305,82.62260127931769,43.0,43.0,43.0
42,長崎県,2029.6666666666667,156.61008230452674,1.2293177226398861,1.5411288281447735,0.33564814814814814,101.62037037037037,44.0,44.0,44.0
30,和歌山県,1264.6666666666667,138.36615609044495,1.0612597419565575,1.2546296296296295,0.33698030634573306,110.28446389496717,45.0,45.0,46.0
35,山口県,1585.6666666666667,119.40261044176707,0.9430149421033475,1.328029034059185,0.3501506024096386,89.90963855421687,46.0,46.0,45.0
37,香川県,556.6666666666666,59.09412597310686,0.4533359918205812,0.6821895424836603,0.321656050955414,86.62420382165605,47.0,47.0,47.0
