year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed,ndb_sma_name,online_primary_count,online_primary_missing_components,facility_report_to_ndb_ratio
2022,05,秋田県,0504,秋田周辺,34.0,2.0,0.0,615.0,97.07317073170731,100.0,100.0,9431.766805472933,秋田周辺,821.0,0,0.7490864799025578
2022,27,大阪府,2707,泉州,69.0,3.0,4.0,608.0,87.00657894736842,95.72368421052632,100.0,7664.41958102493,泉州,2378.0,1,0.255677039529016
2022,46,鹿児島県,4607,姶良・伊佐,75.0,3.0,1.0,591.0,70.38917089678512,92.55499153976312,100.0,5501.38713528649,姶良・伊佐,137.0,1,4.313868613138686
2022,13,東京都,1303,区西南部,78.0,2.0,2.0,547.0,96.3436928702011,100.0,100.0,9295.475737695057,区西南部,56092.0,1,0.009751836268986664
2022,11,埼玉県,1104,さいたま,57.0,4.0,0.0,541.0,82.62476894639556,90.20332717190388,100.0,6935.161489813141,さいたま,26500.0,0,0.02041509433962264
2022,20,長野県,2005,飯伊,12.0,1.0,1.0,534.0,100.0,100.0,100.0,10000.0,飯伊,820.0,0,0.651219512195122
2022,24,三重県,2403,南勢志摩,39.0,2.0,2.0,534.0,76.59176029962546,100.0,100.0,6414.2434316654735,南勢志摩,1419.0,0,0.3763213530655391
2022,12,千葉県,1207,安房,24.0,2.0,2.0,511.0,95.49902152641879,100.0,100.0,9140.321919723041,安房,524.0,0,0.9751908396946565
2022,02,青森県,0202,八戸地域,41.0,3.0,1.0,499.0,61.923847695390776,96.9939879759519,100.0,5073.513760988912,八戸地域,972.0,0,0.5133744855967078
2022,09,栃木県,0906,両毛,24.0,1.0,0.0,492.0,100.0,100.0,100.0,10000.0,両毛,190.0,0,2.5894736842105264
2022,14,神奈川県,1405,川崎南部,26.0,2.0,0.0,488.0,91.59836065573771,100.0,100.0,8460.847218489653,川崎南部,5467.0,0,0.0892628498262301
2022,01,北海道,0119,十勝,46.0,1.0,1.0,480.0,100.0,100.0,100.0,10000.0,十勝,505.0,0,0.9504950495049505
2022,08,茨城県,0802,日立,22.0,2.0,0.0,476.0,76.68067226890757,100.0,100.0,6423.716545441706,日立,152.0,1,3.1315789473684212
2022,11,埼玉県,1103,東部,68.0,2.0,3.0,466.0,96.78111587982833,100.0,100.0,9376.945605923853,東部,13511.0,0,0.034490415217230404
2022,28,兵庫県,2805,北播磨,25.0,1.0,2.0,457.0,100.0,100.0,100.0,10000.0,北播磨,493.0,1,0.9269776876267748
2022,10,群馬県,1010,太田・館林,23.0,1.0,0.0,441.0,100.0,100.0,100.0,10000.0,太田・館林,4120.0,0,0.10703883495145632
2022,02,青森県,0203,青森地域,42.0,5.0,2.0,439.0,62.64236902050114,82.68792710706151,100.0,4459.03663845663,青森地域,1099.0,0,0.3994540491355778
2022,05,秋田県,0505,由利本荘・にかほ,13.0,1.0,0.0,438.0,100.0,100.0,100.0,10000.0,由利本荘・にかほ,0.0,1,inf
2022,33,岡山県,3302,県南西部,81.0,1.0,1.0,434.0,100.0,100.0,100.0,10000.0,県南西部,1521.0,0,0.2853385930309007
2022,14,神奈川県,1412,横浜,169.0,7.0,7.0,425.0,44.94117647058823,65.88235294117646,93.64705882352942,2781.7301038062274,横浜,25363.0,0,0.01675669282024997
2022,23,愛知県,2313,名古屋・尾張中部,192.0,6.0,3.0,420.0,79.28571428571428,84.76190476190476,96.9047619047619,6376.41723356009,名古屋・尾張中部,25599.0,1,0.016406890894175553
2022,19,山梨県,1902,峡東,16.0,1.0,0.0,400.0,100.0,100.0,100.0,10000.0,峡東,704.0,1,0.5681818181818182
2022,40,福岡県,4009,飯塚,31.0,2.0,0.0,389.0,91.77377892030847,100.0,100.0,8490.097210565618,飯塚,31.0,0,12.548387096774194
2022,34,広島県,3406,福山・府中,67.0,3.0,1.0,386.0,56.73575129533679,92.48704663212435,100.0,4553.545061612393,福山・府中,453.0,0,0.8520971302428256
2022,46,鹿児島県,4603,南薩,49.0,3.0,2.0,382.0,76.17801047120419,95.5497382198953,100.0,6198.157945231765,南薩,326.0,0,1.1717791411042944
2022,18,福井県,1803,丹南,24.0,2.0,2.0,377.0,71.08753315649867,100.0,100.0,5889.368109252861,丹南,10.0,1,37.7
2022,28,兵庫県,2811,阪神,110.0,3.0,2.0,365.0,70.41095890410959,96.98630136986301,100.0,5673.034340401576,阪神,12842.0,0,0.02842236411773867
2022,14,神奈川県,1409,県央,45.0,2.0,2.0,348.0,91.95402298850574,100.0,100.0,8520.280089840138,県央,1302.0,0,0.2672811059907834
2022,23,愛知県,2309,西三河南部西,43.0,2.0,2.0,333.0,85.58558558558559,100.0,100.0,7532.667802938074,西三河南部西,185.0,0,1.8
2022,01,北海道,0105,後志,31.0,1.0,1.0,325.0,100.0,100.0,100.0,10000.0,後志,315.0,0,1.0317460317460319
2022,20,長野県,2009,長野,47.0,3.0,1.0,322.0,72.98136645962732,96.8944099378882,100.0,5907.7581883415,長野,1909.0,0,0.1686746987951807
2022,23,愛知県,2306,尾張北部,57.0,2.0,1.0,315.0,65.71428571428571,100.0,100.0,5493.877551020409,尾張北部,266.0,0,1.1842105263157894
2022,23,愛知県,2308,西三河北部,27.0,2.0,1.0,295.0,92.88135593220339,100.0,100.0,8677.62137316863,西三河北部,674.0,0,0.43768545994065283
2022,27,大阪府,2701,豊能,52.0,3.0,0.0,288.0,79.51388888888889,94.44444444444444,100.0,6576.244212962962,豊能,4465.0,0,0.064501679731243
2022,43,熊本県,4312,熊本・上益城,192.0,5.0,7.0,285.0,41.05263157894737,68.42105263157895,100.0,2842.843951985226,熊本・上益城,10842.0,0,0.02628666297731046
2022,24,三重県,2402,中勢伊賀,34.0,1.0,0.0,281.0,100.0,100.0,100.0,10000.0,中勢伊賀,872.0,1,0.32224770642201833
