year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed
2022,28,兵庫県,2812,播磨姫路,73.0,4.0,1.0,7243.0,97.68051912191082,99.13019467071655,100.0,9544.080409066924
2022,29,奈良県,2903,西和,24.0,1.0,1.0,6470.0,100.0,100.0,100.0,10000.0
2022,16,富山県,1601,新川,14.0,2.0,0.0,6057.0,51.791315832920596,100.0,100.0,5006.417624826545
2022,44,大分県,4403,中部,150.0,5.0,5.0,5832.0,77.28052126200275,98.23388203017834,100.0,6412.6033040356315
2022,11,埼玉県,1101,南部,36.0,3.0,1.0,5790.0,62.832469775474955,99.37823834196891,99.99999999999999,5283.899045761109
2022,27,大阪府,2705,南河内,40.0,2.0,0.0,5167.0,98.49041997290497,100.0,100.0,9702.641658297403
2022,13,東京都,1306,区東北部,108.0,6.0,6.0,4715.0,73.10710498409333,87.8048780487805,99.61823966065748,5667.395746298281
2022,43,熊本県,4303,有明,31.0,1.0,1.0,4372.0,100.0,100.0,100.0,10000.0
2022,20,長野県,2007,松本,34.0,4.0,3.0,4277.0,92.00374093991115,98.76081365443066,99.99999999999999,8511.313429505242
2022,22,静岡県,2203,駿東田方,75.0,3.0,2.0,3631.0,93.55549435417241,99.5042687964748,100.0,8788.264190645124
2022,27,大阪府,2708,大阪市,223.0,2.0,6.0,3544.0,99.2663656884876,100.0,100.0,9854.349576303573
2022,47,沖縄県,4703,南部,65.0,3.0,3.0,2902.0,46.38180565127498,90.73053066850447,99.99999999999999,4204.004367814017
2022,13,東京都,1310,北多摩西部,33.0,4.0,3.0,2849.0,85.74938574938575,91.85679185679186,100.0,7423.829905402387
2022,40,福岡県,4008,有明,51.0,1.0,0.0,2197.0,100.0,100.0,100.0,10000.0
2022,18,福井県,1801,福井・坂井,59.0,4.0,2.0,2168.0,67.20479704797047,88.19188191881918,100.0,5031.577218447461
2022,07,福島県,0708,会津・南会津,23.0,2.0,1.0,2067.0,99.03241412675375,100.0,100.0,9808.355270194961
2022,22,静岡県,2207,中東遠,29.0,1.0,2.0,2031.0,100.0,100.0,100.0,10000.0
2022,44,大分県,4409,北部,46.0,1.0,1.0,1896.0,100.0,100.0,100.0,10000.0
2022,23,愛知県,2305,尾張西部,41.0,4.0,1.0,1732.0,92.6674364896074,97.92147806004618,100.0,8617.258879187579
