year,level,area_label,patient_sample_n,patient_weighted_n,patient_online_rate_pct,internet_sample_n,internet_weighted_n,internet_use_rate_pct,prefecture_code,prefecture_name,estimated_events_proxy,low_event_proxy,source_table15_stat_infid,source_internet_stat_infid,supply_standardized_rate_pct,patient_rank,supply_rank,rank_gap_supply_minus_patient,abs_rank_gap
2022,都道府県,01北海道,648.0,1397.0,1.4,745.0,1642.0,85.1,01,北海道,9.072,True,000040057188,000040057181,0.064380941875396,31.0,41.0,10.0,10.0
2022,都道府県,02青森県,591.0,279.0,1.1,816.0,389.0,71.7,02,青森県,6.501,True,000040057188,000040057181,0.0185723982129929,21.5,19.0,-2.5,2.5
2022,都道府県,03岩手県,601.0,273.0,0.8,862.0,380.0,71.7,03,岩手県,4.808,True,000040057188,000040057181,0.0085801123773192,12.0,4.0,-8.0,8.0
2022,都道府県,04宮城県,670.0,607.0,0.1,800.0,723.0,83.9,04,宮城県,0.67,True,000040057188,000040057181,0.009949180217262,1.0,6.0,5.0,5.0
2022,都道府県,05秋田県,712.0,217.0,0.3,976.0,301.0,71.9,05,秋田県,2.136,True,000040057188,000040057181,0.0160697502280217,3.0,12.0,9.0,9.0
2022,都道府県,06山形県,797.0,245.0,0.3,1122.0,334.0,73.2,06,山形県,2.391,True,000040057188,000040057181,0.0214309127287828,3.0,22.0,19.0,19.0
2022,都道府県,07福島県,575.0,431.0,1.4,789.0,574.0,75.2,07,福島県,8.05,True,000040057188,000040057181,0.0199154122469458,31.0,21.0,-10.0,10.0
2022,都道府県,08茨城県,576.0,715.0,2.0,728.0,901.0,79.4,08,茨城県,11.52,False,000040057188,000040057181,0.0134527937307751,41.5,9.0,-32.5,32.5
2022,都道府県,09栃木県,780.0,491.0,0.9,975.0,606.0,80.9,09,栃木県,7.02,True,000040057188,000040057181,0.0423561694461011,17.0,36.0,19.0,19.0
2022,都道府県,10群馬県,868.0,494.0,0.8,997.0,609.0,81.1,10,群馬県,6.944000000000001,True,000040057188,000040057181,0.0327778344550037,12.0,30.0,18.0,18.0
2022,都道府県,11埼玉県,742.0,1898.0,2.1,870.0,2312.0,82.1,11,埼玉県,15.582,False,000040057188,000040057181,0.086548624410697,43.5,44.0,0.5,0.5
2022,都道府県,12千葉県,720.0,1738.0,2.6,824.0,1978.0,87.8,12,千葉県,18.72,False,000040057188,000040057181,0.0680092093747207,46.0,42.0,-4.0,4.0
2022,都道府県,13東京都,755.0,3929.0,3.9,856.0,4414.0,89.0,13,東京都,29.445,False,000040057188,000040057181,0.2442799557408,47.0,47.0,0.0,0.0
