"prefecture_code","prefecture_name","fiscal_year","online_count","population","rate_per_population","rate_per_population_pct","rate_denominator_label"
"29","奈良県",2023,3091,1305636,236.742859418705,0.236742859418705,"per 1e+05"
"29","奈良県",2024,4512,1299861,347.114037577864,0.347114037577864,"per 1e+05"
"30","和歌山県",2022,1317,917683,143.513609819513,0.143513609819513,"per 1e+05"
"30","和歌山県",2023,941,909463,103.467650690572,0.103467650690572,"per 1e+05"
"30","和歌山県",2024,1030,905440,113.756847499558,0.113756847499558,"per 1e+05"
"31","鳥取県",2022,994,550467,180.573949028734,0.180573949028734,"per 1e+05"
"31","鳥取県",2023,1029,545536,188.621832473017,0.188621832473017,"per 1e+05"
"31","鳥取県",2024,658,543123,121.151194112567,0.121151194112568,"per 1e+05"
"32","島根県",2022,6684,667561,1001.25681398404,1.00125681398404,"per 1e+05"
"32","島根県",2023,9940,661581,1502.46152776455,1.50246152776455,"per 1e+05"
"32","島根県",2024,9778,658655,1484.5404650386,1.4845404650386,"per 1e+05"
"33","岡山県",2022,3123,1878400,166.258517887564,0.166258517887564,"per 1e+05"
"33","岡山県",2023,2261,1861574,121.456358973643,0.121456358973643,"per 1e+05"
"33","岡山県",2024,3312,1853340,178.704393149665,0.178704393149665,"per 1e+05"
"34","広島県",2022,7852,2784830,281.956169676425,0.281956169676425,"per 1e+05"
"34","広島県",2023,7048,2759884,255.373051910877,0.255373051910877,"per 1e+05"
"34","広島県",2024,8860,2747677,322.454204042178,0.322454204042178,"per 1e+05"
"35","山口県",2022,1838,1334930,137.685122066326,0.137685122066326,"per 1e+05"
"35","山口県",2023,1120,1322972,84.6578763571716,0.0846578763571716,"per 1e+05"
"35","山口県",2024,1499,1317120,113.808916423712,0.113808916423712,"per 1e+05"
"36","徳島県",2022,555,715737,77.5424492516106,0.0775424492516106,"per 1e+05"
"36","徳島県",2023,1527,709325,215.275085468579,0.215275085468579,"per 1e+05"
"36","徳島県",2024,1765,706188,249.933445484772,0.249933445484772,"per 1e+05"
"37","香川県",2022,277,945196,29.3060910118113,0.0293060910118113,"per 1e+05"
"37","香川県",2023,502,936729,53.5907396909885,0.0535907396909885,"per 1e+05"
"37","香川県",2024,464,932586,49.7541245525882,0.0497541245525882,"per 1e+05"
"38","愛媛県",2022,3531,1327750,265.938617962719,0.265938617962719,"per 1e+05"
"38","愛媛県",2023,2196,1315856,166.887562164857,0.166887562164857,"per 1e+05"
"38","愛媛県",2024,2564,1310036,195.719812279968,0.195719812279968,"per 1e+05"
"39","高知県",2022,1036,687854,150.613356904227,0.150613356904227,"per 1e+05"
"39","高知県",2023,1071,681692,157.109075652934,0.157109075652934,"per 1e+05"
"39","高知県",2024,1629,678677,240.025814931109,0.240025814931109,"per 1e+05"
"40","福岡県",2022,10931,5107935,214.000373928016,0.214000373928016,"per 1e+05"
"40","福岡県",2023,18138,5062179,358.304200621906,0.358304200621906,"per 1e+05"
"40","福岡県",2024,27742,5039789,550.45955296938,0.55045955296938,"per 1e+05"
"41","佐賀県",2022,2436,807132,301.809369471165,0.301809369471165,"per 1e+05"
"41","佐賀県",2023,2656,799901,332.041090084898,0.332041090084898,"per 1e+05"
"41","佐賀県",2024,3395,796363,426.313126049302,0.426313126049302,"per 1e+05"
"42","長崎県",2022,1256,1305346,96.2196996045493,0.0962196996045493,"per 1e+05"
"42","長崎県",2023,1724,1293653,133.266030380635,0.133266030380635,"per 1e+05"
"42","長崎県",2024,2558,1287931,198.61312446086,0.19861312446086,"per 1e+05"
"43","熊本県",2022,16252,1729067,939.928874936599,0.939928874936599,"per 1e+05"
"43","熊本県",2023,12633,1713578,737.229352851169,0.737229352851169,"per 1e+05"
"43","熊本県",2024,12922,1705999,757.44475817395,0.75744475817395,"per 1e+05"
"44","大分県",2022,1920,1117882,171.75336931805,0.17175336931805,"per 1e+05"
"44","大分県",2023,3965,1107868,357.894622825102,0.357894622825102,"per 1e+05"
"44","大分県",2024,2626,1102968,238.084876442472,0.238084876442472,"per 1e+05"
"45","宮崎県",2022,2456,1063894,230.850065890023,0.230850065890023,"per 1e+05"
"45","宮崎県",2023,3021,1054364,286.523439722904,0.286523439722904,"per 1e+05"
"45","宮崎県",2024,3788,1049701,360.864665271349,0.360864665271349,"per 1e+05"
"46","鹿児島県",2022,4425,1579819,280.095378014823,0.280095378014823,"per 1e+05"
"46","鹿児島県",2023,3027,1565667,193.336130863076,0.193336130863076,"per 1e+05"
"46","鹿児島県",2024,4529,1558742,290.554819206771,0.290554819206771,"per 1e+05"
"47","沖縄県",2022,3863,1459685,264.64613940679,0.26464613940679,"per 1e+05"
"47","沖縄県",2023,6886,1446609,476.009757992657,0.476009757992657,"per 1e+05"
"47","沖縄県",2024,7612,1440211,528.533666247515,0.528533666247515,"per 1e+05"
