"prefecture_code","prefecture_name","fiscal_year","online_count","population","rate_per_population","rate_per_population_pct","rate_denominator_label"
"01","北海道",2022,30388,5196860,584.737706999996,0.584737706999996,"per 1e+05"
"01","北海道",2023,17028,5150308,330.621003637064,0.330621003637064,"per 1e+05"
"01","北海道",2024,23010,5127528,448.754253511634,0.448754253511634,"per 1e+05"
"02","青森県",2022,2346,1231408,190.51362342944,0.19051362342944,"per 1e+05"
"02","青森県",2023,5083,1220377,416.510635647837,0.416510635647837,"per 1e+05"
"02","青森県",2024,4376,1214979,360.170834228411,0.360170834228411,"per 1e+05"
"03","岩手県",2022,967,1204104,80.3086776557507,0.0803086776557507,"per 1e+05"
"03","岩手県",2023,3688,1193317,309.054509405296,0.309054509405296,"per 1e+05"
"03","岩手県",2024,5403,1188039,454.783050051387,0.454783050051387,"per 1e+05"
"04","宮城県",2022,2365,2289768,103.28557303622,0.10328557303622,"per 1e+05"
"04","宮城県",2023,4322,2269256,190.458899304442,0.190458899304442,"per 1e+05"
"04","宮城県",2024,7118,2259219,315.064630741863,0.315064630741863,"per 1e+05"
"05","秋田県",2022,1435,954405,150.355457064873,0.150355457064873,"per 1e+05"
"05","秋田県",2023,2226,945856,235.342377698085,0.235342377698085,"per 1e+05"
"05","秋田県",2024,2136,941672,226.830573702945,0.226830573702945,"per 1e+05"
"06","山形県",2022,2412,1062354,227.042963080103,0.227042963080103,"per 1e+05"
"06","山形県",2023,5391,1052837,512.04507440373,0.51204507440373,"per 1e+05"
"06","山形県",2024,7163,1048180,683.37499284474,0.68337499284474,"per 1e+05"
"07","福島県",2022,3560,1823414,195.238163137938,0.195238163137938,"per 1e+05"
"07","福島県",2023,8456,1807080,467.937224693981,0.467937224693981,"per 1e+05"
"07","福島県",2024,10408,1799088,578.515336659463,0.578515336659463,"per 1e+05"
"08","茨城県",2022,3592,2851779,125.956464368382,0.125956464368382,"per 1e+05"
"08","茨城県",2023,7661,2826233,271.067530525615,0.271067530525615,"per 1e+05"
"08","茨城県",2024,10574,2813733,375.799693858657,0.375799693858657,"per 1e+05"
"09","栃木県",2022,8883,1922877,461.96402578012,0.46196402578012,"per 1e+05"
"09","栃木県",2023,7044,1905652,369.637268504428,0.369637268504428,"per 1e+05"
"09","栃木県",2024,9655,1897223,508.901694740154,0.508901694740154,"per 1e+05"
"10","群馬県",2022,5627,1928809,291.734433010215,0.291734433010215,"per 1e+05"
"10","群馬県",2023,5076,1911531,265.546308168688,0.265546308168688,"per 1e+05"
"10","群馬県",2024,5811,1903077,305.347602855796,0.305347602855796,"per 1e+05"
"11","埼玉県",2022,61763,7305749,845.402709564755,0.845402709564755,"per 1e+05"
"11","埼玉県",2023,44919,7240305,620.402041074237,0.620402041074237,"per 1e+05"
"11","埼玉県",2024,55031,7208282,763.441274911276,0.763441274911276,"per 1e+05"
"12","千葉県",2022,40258,6251096,644.015065518111,0.644015065518111,"per 1e+05"
"12","千葉県",2023,34187,6195100,551.839356911107,0.551839356911107,"per 1e+05"
"12","千葉県",2024,52606,6167699,852.927485598762,0.852927485598762,"per 1e+05"
"13","東京都",2022,425897,13972972,3048.00582152458,3.04800582152458,"per 1e+05"
"13","東京都",2023,642114,13847804,4636.93738010734,4.63693738010734,"per 1e+05"
"13","東京都",2024,1172869,13786556,8507.33859855935,8.50733859855935,"per 1e+05"
"14","神奈川県",2022,57045,9188267,620.846129090502,0.620846129090502,"per 1e+05"
"14","神奈川県",2023,72422,9105960,795.325259500371,0.795325259500371,"per 1e+05"
"14","神奈川県",2024,113990,9065685,1257.37878604871,1.25737878604871,"per 1e+05"
"15","新潟県",2022,8617,2189579,393.545973906399,0.393545973906399,"per 1e+05"
"15","新潟県",2023,4147,2169965,191.109073187816,0.191109073187816,"per 1e+05"
"15","新潟県",2024,4396,2160367,203.483945088959,0.203483945088959,"per 1e+05"
"16","富山県",2022,1761,1029317,171.084320962347,0.171084320962347,"per 1e+05"
"16","富山県",2023,2511,1020096,246.153303218521,0.246153303218521,"per 1e+05"
"16","富山県",2024,3172,1015585,312.332301087551,0.312332301087551,"per 1e+05"
"17","石川県",2022,3063,1126510,271.901714143683,0.271901714143683,"per 1e+05"
"17","石川県",2023,4753,1116419,425.736215524816,0.425736215524816,"per 1e+05"
"17","石川県",2024,5410,1111481,486.737964931474,0.486737964931474,"per 1e+05"
"18","福井県",2022,5029,762789,659.291101471049,0.659291101471049,"per 1e+05"
"18","福井県",2023,4191,755956,554.397345877273,0.554397345877273,"per 1e+05"
"18","福井県",2024,4513,752613,599.644173034481,0.599644173034481,"per 1e+05"
"19","山梨県",2022,2112,805671,262.141742721285,0.262141742721285,"per 1e+05"
"19","山梨県",2023,1643,798454,205.772655657057,0.205772655657057,"per 1e+05"
"19","山梨県",2024,2884,794923,362.802434952819,0.362802434952819,"per 1e+05"
"20","長野県",2022,8438,2037132,414.2097812022,0.4142097812022,"per 1e+05"
"20","長野県",2023,4858,2018883,240.628109702246,0.240628109702246,"per 1e+05"
"20","長野県",2024,4573,2009954,227.517644682416,0.227517644682416,"per 1e+05"
"21","岐阜県",2022,4021,1968231,204.2951259278,0.2042951259278,"per 1e+05"
"21","岐阜県",2023,4191,1950600,214.85696708705,0.21485696708705,"per 1e+05"
"21","岐阜県",2024,7425,1941972,382.343308760373,0.382343308760373,"per 1e+05"
"22","静岡県",2022,14979,3613902,414.482739155627,0.414482739155627,"per 1e+05"
"22","静岡県",2023,9160,3581529,255.756689391598,0.255756689391598,"per 1e+05"
"22","静岡県",2024,10763,3565688,301.849180298444,0.301849180298444,"per 1e+05"
"23","愛知県",2022,33325,7502349,444.194211706227,0.444194211706227,"per 1e+05"
"23","愛知県",2023,58039,7435144,780.6035767431,0.7806035767431,"per 1e+05"
"23","愛知県",2024,108049,7402259,1459.67602592668,1.45967602592668,"per 1e+05"
"24","三重県",2022,7670,1760850,435.585086747877,0.435585086747877,"per 1e+05"
"24","三重県",2023,5344,1745077,306.232905482108,0.306232905482108,"per 1e+05"
"24","三重県",2024,6301,1737358,362.677122389283,0.362677122389283,"per 1e+05"
"25","滋賀県",2022,2275,1406101,161.794920848502,0.161794920848502,"per 1e+05"
"25","滋賀県",2023,2394,1393505,171.797015439485,0.171797015439485,"per 1e+05"
"25","滋賀県",2024,3524,1387342,254.01090718799,0.25401090718799,"per 1e+05"
"26","京都府",2022,13138,2564392,512.32416884782,0.51232416884782,"per 1e+05"
"26","京都府",2023,8283,2541420,325.920154874047,0.325920154874047,"per 1e+05"
"26","京都府",2024,12429,2530180,491.229872973464,0.491229872973464,"per 1e+05"
"27","大阪府",2022,80339,8790738,913.905066901095,0.913905066901095,"per 1e+05"
"27","大阪府",2023,61072,8711992,701.010744729793,0.701010744729793,"per 1e+05"
"27","大阪府",2024,75848,8673459,874.483870852448,0.874483870852448,"per 1e+05"
"28","兵庫県",2022,29745,5435971,547.188349606722,0.547188349606722,"per 1e+05"
"28","兵庫県",2023,28016,5387277,520.040087042118,0.520040087042118,"per 1e+05"
"28","兵庫県",2024,39651,5363449,739.281756944086,0.739281756944086,"per 1e+05"
"29","奈良県",2022,1104,1317437,83.7990735040841,0.0837990735040841,"per 1e+05"
